"drive_id","drive_start","drive_end"
"2019_17_PHI_NYG_5","Punt","Punt"
"2021_01_GB_NO_5","Punt","Touchdown"
"2018_02_NYG_DAL_15","Kickoff","Punt"
"2021_17_JAX_NE_5","Kickoff","Turnover"
"2019_01_DET_ARI_4","Punt","Turnover"
"2019_11_KC_LAC_15","Kickoff","Touchdown"
"2019_04_LAC_MIA_15","Kickoff","Turnover"
"2016_04_MIA_CIN_20","Punt","Turnover"
"2016_12_SD_HOU_5","Punt","Punt"
"2021_05_BUF_KC_8","Punt","Field Goal"
"2021_12_TB_IND_23","Kickoff","Touchdown"
"2021_05_NO_WAS_4","Kickoff","Field Goal"
"2020_07_PIT_TEN_12","Kickoff","Touchdown"
"2019_07_HOU_IND_11","Kickoff","Touchdown"
"2021_12_PHI_NYG_10","Fumble","Touchdown"
"2017_04_NYG_TB_22","Punt","Touchdown"
"2016_11_GB_WAS_13","Kickoff","Field Goal"
"2017_13_MIN_ATL_2","Punt","Field Goal"
"2016_10_MIN_WAS_13","Kickoff","Punt"
"2018_14_PIT_OAK_5","Kickoff","Field Goal"
"2020_04_ATL_GB_13","Kickoff","Touchdown"
"2016_12_NE_NYJ_5","Punt","Punt"
"2018_16_JAX_MIA_12","Punt","Turnover"
"2019_01_BAL_MIA_20","Interception","Touchdown"
"2018_07_LA_SF_18","Kickoff","Field Goal"
"2016_06_IND_HOU_3","Punt","Punt"
"2020_12_HOU_DET_19","Kickoff","Turnover"
"2020_12_SEA_PHI_4","Punt","Turnover"
"2018_11_KC_LA_9","Kickoff","Punt"
"2017_14_GB_CLE_6","Punt","Touchdown"
"2016_14_OAK_KC_6","Punt","Punt"
"2019_07_SF_WAS_15","Punt","Field Goal"
"2016_03_NYJ_KC_1","Kickoff","Punt"
"2016_06_CLE_TEN_18","Punt","Punt"
"2016_16_IND_OAK_5","Punt","Turnover"
"2021_16_LA_MIN_1","Kickoff","Punt"
"2019_14_DET_MIN_1","Kickoff","Punt"
"2017_05_SF_IND_14","Kickoff","Punt"
"2017_16_MIN_GB_17","Kickoff","Punt"
"2020_12_BAL_PIT_15","Punt","Punt"
"2020_01_TB_NO_10","Kickoff","Punt"
"2016_14_SD_CAR_13","Kickoff","Touchdown"
"2016_03_WAS_NYG_8","Kickoff","Touchdown"
"2020_14_TEN_JAX_5","Punt","Punt"
"2017_14_CHI_CIN_16","Kickoff","Turnover"
"2020_14_BAL_CLE_21","Kickoff","Touchdown"
"2019_02_PHI_ATL_22","Kickoff","Touchdown"
"2019_04_LAC_MIA_11","Kickoff","Punt"
"2017_14_MIN_CAR_7","Punt","Punt"
"2019_04_WAS_NYG_16","Punt","Punt"
"2016_04_IND_JAX_5","Kickoff","Field Goal"
"2018_11_OAK_ARI_27","Punt","Field Goal"
"2017_16_PIT_HOU_3","Punt","Touchdown"
"2016_14_BAL_NE_11","Interception","Turnover"
"2019_03_NYJ_NE_15","Punt","Turnover"
"2021_01_CLE_KC_1","Kickoff","Touchdown"
"2021_18_LAC_LV_2","Kickoff","Punt"
"2019_15_CHI_GB_18","Kickoff","Punt"
"2020_14_TEN_JAX_20","Punt","Turnover"
"2020_16_MIN_NO_11","Kickoff","Punt"
"2016_13_NYG_PIT_23","Kickoff","Touchdown"
"2021_02_DEN_JAX_4","Punt","Punt"
"2018_08_CLE_PIT_17","Kickoff","Touchdown"
"2016_05_WAS_BAL_10","Fumble","Punt"
"2019_02_ARI_BAL_5","Fumble","Field Goal"
"2020_09_CAR_KC_12","Kickoff","Punt"
"2017_01_ARI_DET_20","Punt","Touchdown"
"2020_05_CAR_ATL_8","Kickoff","Punt"
"2018_11_MIN_CHI_2","Punt","Field Goal"
"2018_12_ATL_NO_6","Kickoff","Punt"
"2020_16_ATL_KC_10","Kickoff","Turnover"
"2017_11_CIN_DEN_12","Punt","Punt"
"2020_01_PHI_WAS_1","Kickoff","Punt"
"2018_17_MIA_BUF_22","Fumble","Touchdown"
"2020_07_CAR_NO_9","Kickoff","Punt"
"2020_06_LA_SF_6","Kickoff","Touchdown"
"2018_05_ARI_SF_10","Punt","Punt"
"2019_03_ATL_IND_2","Kickoff","Punt"
"2020_17_GB_CHI_5","Kickoff","Touchdown"
"2016_01_PIT_WAS_17","Kickoff","Turnover"
"2021_11_BAL_CHI_1","Kickoff","Punt"
"2021_13_LAC_CIN_8","Punt","Punt"
"2016_01_BUF_BAL_14","Fumble","Punt"
"2017_07_ATL_NE_8","Kickoff","Turnover"
"2020_16_ATL_KC_17","Punt","Touchdown"
"2021_15_TEN_PIT_6","Punt","Field Goal"
"2017_12_SEA_SF_6","Punt","Punt"
"2020_13_CLE_TEN_8","Kickoff","Punt"
"2016_03_DET_GB_4","Kickoff","Punt"
"2020_03_KC_BAL_12","Fumble","Field Goal"
"2016_12_LA_NO_3","Punt","Punt"
"2021_10_LA_SF_16","Fumble","Punt"
"2019_02_CLE_NYJ_10","Punt","Punt"
"2017_12_MIN_DET_13","Kickoff","Touchdown"
"2017_16_TB_CAR_15","Kickoff","Field Goal"
"2016_05_TEN_MIA_16","Kickoff","Punt"
"2020_13_CLE_TEN_12","Kickoff","Turnover"
"2017_03_BAL_JAX_19","Fumble","Touchdown"
"2016_11_MIA_LA_22","Punt","Punt"
"2021_03_LAC_KC_15","Kickoff","Touchdown"
"2017_01_PHI_WAS_6","Punt","Punt"
"2020_15_LAC_LV_4","Kickoff","Punt"
"2020_07_CHI_LA_5","Kickoff","Field Goal"
"2021_05_NYG_DAL_6","Fumble","Punt"
"2020_10_SF_NO_20","Punt","Touchdown"
"2017_17_CIN_BAL_24","Kickoff","Punt"
"2018_14_PIT_OAK_14","Fumble","Turnover"
"2019_16_LA_SF_20","Kickoff","Punt"
"2018_01_LA_OAK_15","Punt","Touchdown"
"2017_10_CLE_DET_12","Kickoff","Touchdown"
"2018_08_IND_OAK_17","Kickoff","Turnover"
"2016_05_SD_OAK_23","Fumble","Punt"
"2017_11_KC_NYG_4","Interception","Touchdown"
"2018_04_SEA_ARI_20","Kickoff","Punt"
"2019_15_DEN_KC_2","Punt","Touchdown"
"2016_11_TEN_IND_15","Kickoff","Punt"
"2018_06_TB_ATL_5","Kickoff","Punt"
"2019_06_TEN_DEN_5","Punt","Punt"
"2017_12_GB_PIT_19","Kickoff","Touchdown"
"2020_10_PHI_NYG_14","Punt","Punt"
"2020_17_ARI_LA_17","Punt","Field Goal"
"2016_15_PIT_CIN_17","Kickoff","Punt"
"2021_13_DAL_NO_1","Kickoff","Punt"
"2021_04_PIT_GB_13","Kickoff","Turnover"
"2016_13_KC_ATL_13","Fumble","Punt"
"2016_02_CIN_PIT_17","Kickoff","Punt"
"2020_14_NE_LA_13","Punt","Touchdown"
"2019_16_CIN_MIA_10","Punt","Punt"
"2020_17_SEA_SF_2","Punt","Punt"
"2019_17_SF_SEA_2","Punt","Field Goal"
"2021_09_DEN_DAL_9","Kickoff","Punt"
"2020_14_PIT_BUF_9","Punt","Punt"
"2018_08_DEN_KC_23","Kickoff","Punt"
"2018_13_KC_OAK_22","Kickoff","Touchdown"
"2017_04_LA_DAL_12","Punt","Field Goal"
"2019_04_NE_BUF_25","Punt","Punt"
"2017_03_NO_CAR_14","Kickoff","Turnover"
"2021_16_BAL_CIN_3","Kickoff","Touchdown"
"2018_08_NE_BUF_6","Kickoff","Punt"
"2018_12_TEN_HOU_12","Punt","Field Goal"
"2020_17_LAC_KC_16","Kickoff","Punt"
"2017_01_SEA_GB_18","Punt","Field Goal"
"2018_09_TB_CAR_17","Punt","Punt"
"2017_04_SF_ARI_17","Punt","Field Goal"
"2019_01_ATL_MIN_19","Punt","Touchdown"
"2016_08_NYJ_CLE_4","Punt","Punt"
"2017_05_KC_HOU_6","Kickoff","Turnover"
"2021_10_KC_LV_17","Kickoff","Punt"
"2016_16_DEN_KC_20","Punt","Punt"
"2021_10_TB_WAS_14","Kickoff","Touchdown"
"2018_08_SEA_DET_11","Punt","Turnover"
"2016_05_NE_CLE_4","Kickoff","Touchdown"
"2021_03_LAC_KC_7","Fumble","Touchdown"
"2021_14_CHI_GB_6","Kickoff","Touchdown"
"2016_10_HOU_JAX_11","Punt","Punt"
"2020_16_CLE_NYJ_21","Punt","Punt"
"2021_10_DET_PIT_20","Punt","Punt"
"2021_02_DET_GB_9","Kickoff","Touchdown"
"2017_05_MIN_CHI_9","Punt","Punt"
"2019_08_NYG_DET_2","Punt","Turnover"
"2017_05_SEA_LA_10","Kickoff","Touchdown"
"2020_11_MIA_DEN_2","Punt","Turnover"
"2019_04_PHI_GB_14","Kickoff","Punt"
"2021_06_LAC_BAL_12","Kickoff","Punt"
"2021_18_NO_ATL_14","Fumble","Punt"
"2017_06_NE_NYJ_14","Interception","Touchdown"
"2021_12_TEN_NE_1","Kickoff","Punt"
"2019_04_MIN_CHI_3","Punt","Punt"
"2019_14_DET_MIN_23","Fumble","Turnover"
"2021_10_MIN_LAC_11","Kickoff","Punt"
"2017_14_PHI_LA_23","Punt","Punt"
"2017_14_TEN_ARI_9","Punt","Punt"
"2017_11_TB_MIA_21","Punt","Turnover"
"2021_13_JAX_LA_6","Punt","Touchdown"
"2016_17_BAL_CIN_8","Interception","Field Goal"
"2017_16_CLE_CHI_20","Punt","Punt"
"2018_08_NO_MIN_5","Kickoff","Field Goal"
"2017_10_NO_BUF_16","Kickoff","Punt"
"2019_04_CLE_BAL_3","Punt","Touchdown"
"2017_14_OAK_KC_8","Interception","Field Goal"
"2020_13_LA_ARI_17","Punt","Touchdown"
"2018_09_CHI_BUF_15","Kickoff","Field Goal"
"2017_02_PHI_KC_3","Kickoff","Punt"
"2018_08_TB_CIN_19","Kickoff","Field Goal"
"2017_03_CIN_GB_7","Kickoff","Punt"
"2021_15_NYJ_MIA_22","Punt","Punt"
"2017_15_LA_SEA_2","Fumble","Field Goal"
"2016_07_MIN_PHI_10","Punt","Field Goal"
"2019_05_GB_DAL_17","Kickoff","Touchdown"
"2017_08_IND_CIN_21","Punt","Turnover"
"2021_13_LAC_CIN_19","Punt","Punt"
"2016_03_OAK_TEN_21","Punt","Punt"
"2016_04_CLE_WAS_9","Kickoff","Field Goal"
"2021_08_CIN_NYJ_2","Kickoff","Punt"
"2017_09_ATL_CAR_24","Fumble","Turnover"
"2020_12_CLE_JAX_11","Fumble","Touchdown"
"2016_13_MIA_BAL_17","Kickoff","Touchdown"
"2021_15_CIN_DEN_9","Kickoff","Punt"
"2019_14_TEN_OAK_13","Punt","Touchdown"
"2021_07_IND_SF_14","Fumble","Touchdown"
"2019_10_MIN_DAL_9","Punt","Touchdown"
"2020_11_TEN_BAL_19","Kickoff","Punt"
"2020_03_CHI_ATL_17","Interception","Punt"
"2017_03_HOU_NE_5","Punt","Punt"
"2021_12_CLE_BAL_17","Punt","Punt"
"2019_06_WAS_MIA_2","Punt","Punt"
"2016_05_CHI_IND_5","Kickoff","Field Goal"
"2017_08_LAC_NE_13","Punt","Field Goal"
"2017_06_DET_NO_30","Interception","Punt"
"2019_15_TB_DET_8","Punt","Punt"
"2021_16_WAS_DAL_20","Fumble","Touchdown"
"2018_13_DEN_CIN_5","Punt","Punt"
"2020_11_GB_IND_13","Kickoff","Touchdown"
"2017_16_NYG_ARI_26","Fumble","Punt"
"2019_04_CLE_BAL_9","Kickoff","Field Goal"
"2018_04_MIN_LA_15","Punt","Field Goal"
"2017_16_IND_BAL_10","Kickoff","Field Goal"
"2016_10_SEA_NE_1","Kickoff","Touchdown"
"2020_08_TB_NYG_19","Kickoff","Punt"
"2018_17_DAL_NYG_1","Kickoff","Turnover"
"2019_03_TEN_JAX_15","Kickoff","Turnover"
"2018_04_HOU_IND_11","Punt","Punt"
"2019_10_BUF_CLE_17","Punt","Punt"
"2018_10_ATL_CLE_18","Kickoff","Punt"
"2019_04_PHI_GB_2","Punt","Touchdown"
"2016_11_JAX_DET_8","Fumble","Punt"
"2018_12_ATL_NO_16","Punt","Turnover"
"2017_17_GB_DET_13","Punt","Field Goal"
"2018_11_TB_NYG_12","Interception","Field Goal"
"2019_05_BAL_PIT_15","Interception","Touchdown"
"2016_17_DAL_PHI_12","Interception","Touchdown"
"2018_05_WAS_NO_15","Interception","Touchdown"
"2017_01_IND_LA_7","Punt","Punt"
"2018_14_PHI_DAL_6","Interception","Punt"
"2020_01_SEA_ATL_20","Fumble","Touchdown"
"2020_15_NYJ_LA_2","Punt","Touchdown"
"2019_10_BUF_CLE_8","Kickoff","Field Goal"
"2019_02_PHI_ATL_15","Kickoff","Punt"
"2018_05_BAL_CLE_14","Kickoff","Punt"
"2018_15_HOU_NYJ_13","Kickoff","Punt"
"2019_05_CLE_SF_20","Punt","Punt"
"2021_14_NO_NYJ_11","Kickoff","Field Goal"
"2020_13_NYG_SEA_15","Kickoff","Turnover"
"2016_07_OAK_JAX_19","Punt","Field Goal"
"2021_08_MIA_BUF_9","Punt","Turnover"
"2021_16_BAL_CIN_1","Kickoff","Field Goal"
"2020_12_TEN_IND_23","Kickoff","Turnover"
"2016_08_WAS_CIN_4","Fumble","Punt"
"2019_16_HOU_TB_4","Kickoff","Field Goal"
"2018_07_CLE_TB_8","Punt","Touchdown"
"2017_17_KC_DEN_11","Interception","Punt"
"2017_04_TEN_HOU_1","Kickoff","Turnover"
"2021_04_KC_PHI_1","Kickoff","Field Goal"
"2019_17_ARI_LA_18","Punt","Touchdown"
"2019_17_ARI_LA_5","Kickoff","Punt"
"2021_06_TB_PHI_5","Punt","Punt"
"2016_10_CHI_TB_22","Kickoff","Punt"
"2018_09_TB_CAR_5","Kickoff","Punt"
"2018_06_LA_DEN_18","Kickoff","Field Goal"
"2017_04_CIN_CLE_16","Punt","Punt"
"2021_14_NO_NYJ_18","Fumble","Touchdown"
"2017_10_SEA_ARI_7","Kickoff","Punt"
"2017_04_PIT_BAL_5","Punt","Punt"
"2018_15_PHI_LA_6","Interception","Turnover"
"2021_15_SEA_LA_18","Punt","Turnover"
"2016_03_LA_TB_6","Punt","Field Goal"
"2017_07_SEA_NYG_19","Punt","Turnover"
"2020_02_NE_SEA_15","Kickoff","Punt"
"2019_15_CHI_GB_17","Punt","Field Goal"
"2016_09_ATL_TB_7","Kickoff","Punt"
"2021_04_SEA_SF_4","Punt","Turnover"
"2016_11_PIT_CLE_2","Interception","Field Goal"
"2020_08_DAL_PHI_18","Kickoff","Turnover"
"2019_03_PIT_SF_11","Punt","Field Goal"
