"drive_id","drive_start","drive_end"
"2020_15_CAR_GB_6","Fumble","Touchdown"
"2017_15_ARI_WAS_2","Fumble","Touchdown"
"2020_02_CIN_CLE_13","Fumble","Touchdown"
"2019_14_PIT_ARI_15","Fumble","Touchdown"
"2017_06_DET_NO_20","Fumble","Touchdown"
"2016_17_CLE_PIT_12","Fumble","Touchdown"
"2019_09_IND_PIT_17","Fumble","Touchdown"
"2020_11_GB_IND_3","Fumble","Touchdown"
"2021_14_NYG_LAC_18","Fumble","Touchdown"
"2019_03_MIA_DAL_21","Fumble","Touchdown"
"2021_10_CAR_ARI_2","Fumble","Touchdown"
"2020_15_CLE_NYG_6","Fumble","Touchdown"
"2021_06_ARI_CLE_4","Fumble","Touchdown"
"2019_15_MIA_NYG_23","Fumble","Touchdown"
"2021_07_CIN_BAL_22","Fumble","Touchdown"
"2018_09_TEN_DAL_13","Fumble","Touchdown"
"2018_04_CLE_OAK_25","Fumble","Touchdown"
"2020_16_SF_ARI_20","Fumble","Touchdown"
"2019_17_OAK_DEN_9","Fumble","Touchdown"
"2016_15_MIA_NYJ_10","Fumble","Touchdown"
"2017_09_ATL_CAR_10","Fumble","Touchdown"
"2018_09_TB_CAR_20","Fumble","Touchdown"
"2021_11_SF_JAX_5","Fumble","Touchdown"
"2016_17_CHI_MIN_15","Fumble","Touchdown"
"2021_12_CHI_DET_9","Fumble","Turnover"
"2018_16_ATL_CAR_20","Fumble","Turnover"
"2017_02_DET_NYG_21","Fumble","Turnover"
"2019_11_ARI_SF_21","Fumble","Turnover"
"2017_10_MIN_WAS_16","Fumble","Turnover"
"2018_05_IND_NE_18","Fumble","Turnover"
"2016_05_WAS_BAL_8","Fumble","Turnover"
"2019_12_SEA_PHI_16","Fumble","Turnover"
"2020_11_LA_TB_21","Fumble","Turnover"
"2018_01_CHI_GB_22","Fumble","Turnover"
"2020_13_JAX_MIN_18","Fumble","Turnover"
"2019_12_IND_HOU_18","Fumble","Turnover"
"2020_14_ARI_NYG_2","Fumble","Turnover"
"2021_15_KC_LAC_9","Fumble","Turnover"
"2020_16_NYG_BAL_16","Fumble","Turnover"
"2018_17_CHI_MIN_20","Fumble","Turnover"
"2020_11_GB_IND_2","Fumble","Turnover"
"2018_15_DAL_IND_14","Fumble","Turnover"
"2019_12_DAL_NE_23","Fumble","Turnover"
"2017_10_HOU_LA_11","Fumble","Turnover"
"2020_08_DAL_PHI_3","Fumble","Turnover"
"2018_13_IND_JAX_2","Fumble","Turnover"
"2019_12_SEA_PHI_21","Fumble","Turnover"
"2016_02_MIA_NE_10","Fumble","Turnover"
"2017_14_DET_TB_11","Fumble","Turnover"
"2019_15_CHI_GB_8","Fumble","Turnover"
"2017_16_DEN_WAS_23","Fumble","Turnover"
"2018_09_LA_NO_6","Fumble","Turnover"
"2020_03_KC_BAL_20","Fumble","Turnover"
"2019_14_WAS_GB_11","Fumble","Turnover"
"2018_01_WAS_ARI_19","Fumble","Turnover"
"2019_06_SEA_CLE_19","Fumble","Turnover"
"2016_04_LA_ARI_18","Fumble","Turnover"
"2016_04_TEN_HOU_22","Fumble","Turnover"
"2017_10_DAL_ATL_19","Fumble","Turnover"
"2021_15_KC_LAC_12","Fumble","Turnover"
"2019_10_ATL_NO_16","Fumble","Turnover"
"2021_06_KC_WAS_10","Fumble","Turnover"
"2019_14_IND_TB_21","Fumble","Turnover"
"2018_02_PHI_TB_7","Fumble","Turnover"
"2020_12_MIA_NYJ_17","Fumble","Turnover"
"2021_07_CHI_TB_21","Fumble","Turnover"
"2021_05_LA_SEA_5","Fumble","Turnover"
